gene name,chromosome,start,end
A1BG,19,58346806,58353499
A2M,12,9067708,9116229
A2MP1,12,9228533,9234207
NAT1,8,18170419,18223689
NAT2,8,18386585,18401219
NATP,8,18369910,18371878
SERPINA3,14,94612377,94624053
AADAC,3,151814008,151828488
AAMP,2,218264127,218270209
AANAT,17,76453351,76470797
AARS,16,70252295,70289509
ABAT,16,8674587,8784575
ABCA1,9,104781002,104928246
ABCA2,9,137007234,137028922
ABCA3,16,2275878,2340746
ABCB7,23,75053280,75156340
ABCF1,6,30571393,30591532
ABCA4,1,93992837,94121149
ABL1,9,130713881,130887675
AOC1,7,150824875,150861291
ABL2,1,179099327,179229693
ABO,9,133255176,133275214
ABR,17,1003518,1229712
ACAA1,3,38122710,38137242
ACACA,17,37084992,37406822
ACACB,12,109112666,109268226
ACADL,2,210187990,210225491
ACADM,1,75724347,75763679
ACADS,12,120725738,120740008
ACADSB,10,123008913,123058290
ACADVL,17,7217125,7225267
ACAT1,11,108116705,108148822
ACAT2,6,159761957,159779112
ASIC2,17,33013087,34156806
ASIC1,12,50057637,50083622
ACHE,7,100889994,100896133
ACLY,17,41866916,41930542
ACO1,9,32384603,32450836
ACR,22,50738224,50745299
ACO2,22,41468756,41528989
ACOX1,17,75941507,75979434
ACP1,2,264869,278283
ACP2,11,47239302,47248847
ACP5,19,11574660,11579008
ACPP,3,132317367,132368765
ACRV1,11,125672334,125680898
ACTA1,1,229431245,229434096
ACTA2,10,88935074,88991397
ACTB,7,5527146,5530709
ACTBP2,5,77784801,77786597
ACTBP3,18,59693046,59693473
ACTBP4,5,131658440,131660199
ACTBP6,8,84948509,84950268
ACTBP7,15,43988474,43990265
ACTBP8,6,88275295,88277074
ACTBP9,18,62441924,62443715
ACTC1,15,34788096,34795726
ACTG1,17,81509971,81512866
ACTG2,2,73892966,73919653
ACTG1P1,3,139493740,139495682
ACTG1P2,24,17756197,17758298
ACTG1P3,20,1160509,1162097
ACTN4,19,38647616,38730532
ACTG1P9,6,46204912,46206561
ACTG1P10,23,53141688,53143984
ACTL6A,3,179562880,179588405
ACTN1,14,68874123,68979366
ACTN2,1,236686454,236764631
ACTN3,11,66546395,66563329
ACVR1,2,157736446,157875896
ACVR1B,12,51951667,51997079
ACVR2A,2,147844517,147930827
ACVR2B,3,38454299,38493142
ACVRL1,12,51906913,51923361
ACY1,3,51983284,51989202
ACYP1,14,75053221,75069483
ACYP2,2,53970838,54305300
ADA,20,44619519,44651758
ADAM8,10,133262416,133276903
ADAM10,15,58595204,58749978
ADAR,1,154582057,154631560
ADARB1,21,45074578,45226563
ADARB2,10,1177313,1737476
ADCY1,7,45574140,45723116
ADCY2,5,7396230,7830081
ADCY3,2,24819169,24920017
ADCY5,3,123282296,123448988
ADCY6,12,48766191,48789096
ADCY7,16,50246138,50318135
ADCY8,8,130780300,131041604
ADCY9,16,3953387,4116185
ADCYAP1,18,904384,912172
ADCYAP1R1,7,31052341,31111479
ADD1,4,2843857,2930076
ADD2,2,70656784,70768243
ADD3,10,109996350,110135565
PLIN2,9,19108391,19127606
ADH1A,4,99276366,99291028
ADH1B,4,99306387,99321442
ADH1C,4,99336492,99353045
ADH4,4,99123657,99144298
ADH5,4,99070978,99088788
ADH6,4,99202638,99219246
ADH7,4,99412261,99435510
ADK,10,74151185,74709303
ADM,11,10304980,10307402
ADORA1,1,203127705,203167405
ADORA2A,22,24423597,24442360
ADORA2B,17,15927782,15975896
ADORA2BP1,1,209744350,209745676
ADORA3,1,111499429,111504121
ADPRH,3,119579433,119589954
PARP1,1,226360691,226408100
PARP4,13,24420930,24512993
PARP1P1,13,110936624,110940232
PARP1P2,14,63123001,63123935
ADRA1D,20,4220631,4249012
ADRA1B,5,159916733,159989205
ADRA1A,8,26738113,26870994
ADRA2A,10,111077032,111080907
ADRA2B,2,96112875,96116245
ADRA2C,4,3766569,3768526
ADRB1,10,114044047,114046908
ADRB2,5,148826593,148828634
ADRB3,8,37962995,37966666
GRK2,11,67266400,67286558
GRK3,22,25564894,25729294
ADSL,22,40346500,40387408
ADSS,1,244408492,244452134
AP2A1,19,49766923,49807114
AP2A2,11,925809,1012245
AP1B1,22,29327680,29388583
AP2B1,17,35587263,35726417
AP1G1,16,71729000,71809073
AEBP1,7,44104320,44114565
AES,19,3052910,3063107
CRISP1,6,49833939,49877096
AFG3L1P,16,89972580,90000787
AFM,4,73481745,73504001
AFP,4,73436219,73455785
AGA,4,177430774,177442503
ACAN,15,88803442,88875354
AGER,6,32180968,32184380
AGL,1,99850077,99924023
AGRP,16,67482571,67483813
JAG1,20,10637684,10674046
AGT,1,230702523,230714590
AGTR1,3,148697871,148743003
AGTR2,23,116170705,116174972
APLNR,11,57233577,57237453
AGXT,2,240868745,240879119
NR0B1,23,30304422,30309378
AHCY,20,34235012,34311976
AHR,7,17298652,17346151
AHSG,3,186612923,186621318
AIF1,6,31615209,31617025
CRYBG1,6,106360808,106570449
AK1,9,127866480,127885542
AK2,1,33007940,33036911
AK4,1,65147342,65232145
AK4P1,17,31345314,31347501
AKT1,14,104769349,104795743
AKT2,19,40230317,40285531
ALAD,9,113386312,113401338
ALAS1,3,52198083,52214327
ALAS2,23,55009055,55031064
ALB,4,73404239,73421484
ALCAM,3,105366713,105576913
ABCD1,23,153724851,153744762
ALDH1A1,9,72900662,72953317
ALDH2,12,111766887,111809985
ALDH3A1,17,19737984,19748433
